Month	Protocol	Project_Type	Fiat_Loss	General_Attack_Method
2022-01	Arbix Finance	DeFi	$10,000,000.00	Scam
2022-01	"Stobox Exchange	"	DeFi	$166,000.00	Hack
2022-01	Metaland DAO        	Metaverse	$286,000.00	Scam
2022-01	$GOTEM(gotEM) $ONEP (HarmonyPad) $HBARP (HbarPad) $MPLAY (MetaPlay) $ELIT (Electrinity) $PEE (MicroPee) $QDrop (QuizDrop) 	DeFi	$2,600,000.00	Scam
2022-01	BNB Heroes	GameFi	$566,000.00	Scam
2022-01	Crypto Burgers	Metaverse	$770,000.00	Hack
2022-01	CrossWise	DeFi	$257,000.00	Hack
2022-01	Mercenery	DeFi	$760,000.00	Scam
2022-01	CryptoCity	GameFi	$9,200,000.00	Scam
2022-01	QubitFinance	DeFi	$80,000,000.00	Hack
2022-02	TooFarm	DeFi	$300,000.00	Scam
2022-02	Meter.io	Bridge	$4,400,000.00	Hack
2022-02	FileSystemVideo	DeFi	$303,000.00	Scam
2022-02	Earn Hub	DeFi	$284,000.00	Hack
2022-02	DEGO Finance	DeFi	$15,400,000.00	Hack
2022-02	AssangeDAO 	DAO	$23,600.00	Scam
2022-02	Baby Musk	DeFi	$2,000,000.00	Scam
2022-02	ValentineFloki	DeFi	$50,000.00	Scam
2022-02	Titano	DeFi	$1,900,000.00	Scam
2022-02	BNB42	DeFi	$2,700,000.00	Scam
2022-02	TopGoal	GameFi	$1,100,000.00	Hack
2022-02	Raptor2	DeFi	$84,000.00	Scam
2022-02	DollarDoge	DeFi	$193,000.00	Scam
2022-02	FlurryFinance	DeFi	$295,000.00	Hack
2022-02	Web3Memes	DeFi	$27,000.00	Scam
2022-02	Web3Memes	GameFi	$51,000.00	Hack
2022-02	Ariva Digital	DeFi	$660,000.00	Hack
2022-02	NebuDAO MOX	DeFi	$1,600,000.00	Hack
2022-03	Hamster Coin	DeFi	$683,000.00	Scam
2022-03	TheCatWorld	GameFi	$39,000.00	Scam
2022-03	Peacedoge X	DeFi	$18,000.00	Scam
2022-03	TetherShiba	DeFi	$105,000.00	Scam
2022-03	Skylands	GameFi	$159,000.00	Scam
2022-03	Pirate X	GameFi	$68,000.00	Hack
2022-03	Paraluni	Metaverse	$1,700,000.00	Hack
2022-03	Umbrella Network	Oracle	$700,000.00	Hack
2022-03	RealSwak	Metaverse	$526,000.00	Scam
2022-03	PortaNetwork	Bridge	$261,000.00	Scam
2022-03	PYE Ecosystem	DeFi	$2,600,000.00	Hack
2022-03	BuccaneerFi	DeFi	$361,000.00	Scam
2022-03	BNB DEFI	DeFi	$109,000.00	Scam
2022-04	GhostP2E	GameFi	$346,000.00	Scam
2022-04	PhantasmaChain	Bridge	$521,000.00	Hack
2022-04	WonderHero	GameFi	$320,000.00	Hack
2022-04	GymDefi	DeFi	$566,000.00	Hack
2022-04	Creat future (CF)	DeFi	$1,900,000.00	Hack
2022-04	Elephant Money	DeFi	$22,000,000.00	Hack
2022-04	Rikkei Finance	DeFi	$1,100,000.00	Hack
2022-04	ZEED	DeFi	$1,000,000.00	Hack
2022-04	Wiener DOGE, Last Kilometer, Medamon and PIDAO	DeFi	$34,700.00	Hack
2022-05	Day of Defeat	DeFi	$1,350,000.00	Scam
2022-05	Bistroo	DeFi	$47,000.00	Hack
2022-05	Cashera	DeFi	$90,000.00	Scam
2022-05	Fortress Protocol	DeFi	$3,000,000.00	Hack
2022-05	Hunter Defi	DeFi	$1,200,000.00	Scam
2022-05	Ownly	Metaverse	$19,200.00	Hack
2022-05	BakedBeans Original	DeFi	$14,500,000.00	Scam
2022-05	BakedBeans Hot	DeFi	$120,000.00	Scam
2022-05	Bnbminer	DeFi	$3,100,000.00	Scam
2022-05	Tegridy	DeFi	$523,000.00	Scam
2022-05	GrinchBucks	DeFi	$2,000,000.00	Scam
2022-05	CropsFarmerBUSD	DeFi	$1,400,000.00	Scam
2022-05	CropsFarmerBNB	DeFi	$1,300,000.00	Scam
2022-05	Venus Protocol	DeFi	$13,500,000.00	Hack
2022-05	Loser Coin	DeFi	$10,000.00	Hack
2022-05	Space Dumping	DeFi	$2,000.00	Hack
2022-05	FEG	DeFi	$1,500,000.00	Hack
2022-05	Feminist Metaverse	Metaverse	$540,000.00	Hack
2022-05	QANplatform	Bridge	$710,000.00	Hack
2022-05	bDollar	DeFi	$730,000.00	Hack
2022-05	HackerDAO	DAO	$65,000.00	Hack
2022-05	DecentraWorld	Metaverse	$1,000,000.00	Scam
2022-05	ShiDAO	DAO	$180,000.00	Scam
2022-05	Magic	DeFi	$47,000.00	Scam
2022-05	SportMove	ExerciseFi	$159,000.00	Scam
2022-05	Pokemoney	Metaverse	$3,500,000.00	Scam
2022-05	BreedTech	DeFi	$9,400,000.00	Scam
2022-05	Novo	DeFi	$85,600.00	Hack
2022-05	LlamaCoin	DeFi	$150,000.00	Scam
2022-05	FlokiMoon	DeFi	$148,000.00	Scam
2022-06	StarMan	DeFi	$53,000.00	Scam
2022-06	ADAF	DeFi	$156,000.00	Scam
2022-06	Fomo Dao	DAO	$114,000.00	Scam
2022-06	ACC TOKEN	DeFi	$120,000.00	Scam
2022-06	Equalizer Finance	DeFi	$72,000.00	Hack
2022-06	EvoDefi	Bridge	$50,000,000.00	Improper Management
2022-06	BabyElon	DeFi	$180,000.00	Scam
2022-06	ApolloX	DeFi	$2,100,000.00	Hack
2022-06	GYM network	DeFi	$2,100,000.00	Hack
2022-06	Verify	DeFi	$25,000.00	Scam
2022-06	Treasure Swap	DeFi	$1,100,000.00	Hack
2022-06	AETH	DeFi	$20,000.00	Scam
2022-06	Hegecoin and SHELL	DeFi	$429,000.00	Scam
2022-06	Fswap	DeFi	$432,000.00	Hack
2022-06	Whale Loans	DeFi	$12,300.00	Hack
2022-06	DHE	DeFi	$142,000.00	Scam
2022-06	LV Metaverse	Metaverse	$1,500,000.00	Scam
2022-06	PandorachainDAO	DAO	$128,000.00	Hack
2022-06	DMC Token	DeFi	$497,000.00	Scam
2022-06	Swello	DeFi	$200,000.00	Scam
2022-06	Skate Metaverse	Metaverse	$34,000.00	Scam
2022-06	Dark Light	DeFi	$134,000.00	Scam
2022-06	Project Quint	DeFi	$130,000.00	Hack
2022-06	Mad Token	DeFi	$122,000.00	Hack
2022-07	Nody	DeFi	$54,500.00	Hack
2022-07	BabyDAO	DAO	$7,600.00	Scam
2022-07	SHADE INU	DeFi	$53,700.00	Scam
2022-07	Klein Bottle	DeFi	$89,000.00	Scam
2022-07	Drip Protocol	DeFi	$5,300,000.00	Scam
2022-07	Citizen Finance	GameFi	$94,000.00	Hack
2022-07	Unknown	DeFi	$110,000.00	Hack
2022-07	RETAWATCH	SocialFi	$29,000.00	Scam
2022-07	ForestTigerPro	DeFi	$732,000.00	Scam
2022-07	ElonMVP	DeFi	$44,000.00	Scam
2022-07	Space Godzilla	DeFi	$25,000.00	Hack
2022-07	ElronToken	DeFi	$122,000.00	Scam
2022-07	Arena PlayARC	GameFi	$204,000.00	Scam
2022-07	Neoteric Finance	DeFi	$17,000.00	Scam
2022-07	Loop X Network	DeFi	$33,900.00	Scam
2022-07	Raccoon Network & Freedom Protocol	DeFi	$20,000,000.00	Scam
2022-07	GST Token	DeFi	$130,000.00	Scam
2022-07	TEDDY DOGE	DeFi	$4,500,000.00	Scam
2022-07	Super Step	ExerciseFi	$255,000.00	Scam
2022-07	Cryptos Tribe	GameFi	$91,000.00	Scam
2022-08	Forsage	DeFi	$2,500,000.00	Scam
2022-08	Saxon James Musk	DeFi	$25,500.00	Scam
2022-08	AI DAY: Part 2	DeFi	$88,700.00	Scam
2022-08	EGD Finance	DeFi	$36,000.00	Hack
2022-08	Blur Finance	DeFi	$600,000.00	Scam
2022-08	Bnbseed	DeFi	$2,300.00	Scam
2022-08	Minerbnb	DeFi	$6,200.00	Scam
2022-08	HashFree	DeFi	$46,000.00	Scam
2022-08	BrandNewQuest	Metaverse	$214,000.00	Scam
2022-08	MMFinance	DeFi	$215,000.00	Scam
2022-08	GEMDAO	DAO	$53,000.00	Scam
2022-08	PAK REVOLUTION	DeFi	$175,000.00	Scam
2022-08	Nut2Earn	GameFi	$410,000.00	Scam
2022-08	HUT	DeFi	$509,000.00	Scam
2022-08	FDR	DeFi	$25,000.00	Scam
2022-08	WorldCup	DeFi	$131,000.00	Scam
2022-08	Kaoyaswap	DeFi	$84,700.00	Hack
2022-08	PokémonFi	DeFi	$708,000.00	Scam
2022-08	RobotShib	DeFi	$14,100.00	Scam
2022-08	NFT Cross Chain	Bridge	$44,000.00	Scam
2022-08	ArcadeEarn	GameFi	$15,000.00	Scam
2022-08	GMT	DeFi	$11,000.00	Scam
2022-08	Marvel Metauniverse	Metaverse	$93,000.00	Scam
2022-08	Banana Swap	DeFi	$110,000.00	Hack
2022-08	Galaxy Coin	DeFi	$84,000.00	Scam
2022-08	QWCF	DeFi	$27,000.00	Scam
2022-08	DDC	DeFi	$104,000.00	Hack
2022-08	HeroCat	DeFi	$1,170,000.00	Scam
2022-08	Cupid	DeFi	$78,600.00	Hack
2022-09	Carillonium	DeFi	$59,000.00	Scam
2022-09	Meta Magic Coin	DeFi	$62,000.00	Scam
2022-09	ShadowFi	DeFi	$299,600.00	Hack
2022-09	Bnbclub	DeFi	$0.00	Scam
2022-09	DAO_Officials	DeFi	$581,000.00	Hack
2022-09	DaoSwap	DeFi	$580,000.00	Hack
2022-09	CornerChain	DeFi	$51,000.00	Scam
2022-09	GERA	DeFi	$1,480,000.00	Hack
2022-09	New Free Dao	DeFi	$1,450,000.00	Hack
2022-09	Ragnarok Online Invasion	GameFi	$45,200.00	Hack
2022-09	Arbitrage Robot	DeFi	$472,000.00	Scam
2022-09	DarkPool	DeFi	$103,000.00	Scam
2022-09	PoW ETH	DeFi	$255,000.00	Scam
2022-09	Giant Divine Shield	DeFi	$140,000.00	Scam
2022-09	Tsuka	DeFi	$70,000.00	Scam
2022-09	Hunter Doge	DeFi	$45,000.00	Scam
2022-09	HPD	DeFi	$142,000.00	Scam
2022-09	BNQ Token	DeFi	$255,000.00	Scam
2022-09	BXH	DeFi	$12,500,000.00	Scam
2022-09	SherLOCK	DeFi	$262,000.00	Scam
2022-09	Fortunas FInance	DeFi	$21,000.00	Hack
2022-09	Sirius	DeFi	$44,000.00	Scam
2022-09	TIGER	DeFi	$784,000.00	Scam
2022-09	SSPF	DeFi	$58,000.00	Scam
2022-09	DOLLAR	DeFi	$382,000.00	Scam
2022-09	NWN	DeFi	$110,000.00	Scam
2022-09	e-STD	DeFi	$49,000.00	Scam
2022-10	Transit Finance	DeFi	$21,000,000.00	Hack
2022-10	Babyswap	DeFi	$65,000.00	Hack
2022-10	SLS	DeFi	$41,000.00	Scam
2022-10	FDO	DeFi	$160,000.00	Scam
2022-10	RedRuby DAO	DAO	$91,000.00	Hack
2022-10	Easier	DeFi	$115,500.00	Scam
2022-10	BNB Chain exploit	Bridge	$572,000,000.00	Hack
2022-10	BNB Chain exploit with Freeze	Bridge	$59,000,000.00	Hack
2022-10	Jumpn Finance	DeFi	$1,100,000.00	Scam
2022-10	DMC Token	DeFi	$189,000.00	Scam
2022-10	Carrot	DeFi	$31,000.00	Hack
2022-10	RabbyWallet	Wallet	$194,500.00	Hack
2022-10	QANplatform	Bridge	$1,160,000.00	Hack
2022-10	TheMicroElements	DeFi	$573,000.00	Scam
2022-10	FlokiChain	DeFi	$111,000.00	Scam
2022-10	Journey of Awakening	DeFi	$127,000.00	Hack
2022-10	LGT	DeFi	$35,000.00	Scam
2022-10	KHABY Fan Token	DeFi	$32,000.00	Scam
2022-10	MetaFinance DAO	DAO	$380,000.00	Scam
2022-10	FDB	DeFi	$103,000.00	Scam
2022-10	Metaverse Token	Metaverse	$487,000.00	Hack
2022-10	SHOK	DeFi	$71,000.00	Scam
2022-10	PlantWorld	Metaverse	$24,400.00	Hack
2022-10	DDCX	DeFi	$148,000.00	Scam
2022-10	Bitkeep Swap	DeFi	$1,100,000.00	Hack
2022-10	Dataverse	Metaverse	$0.00	Hack
2022-10	Mango INU	DeFi	$40,000.00	Scam
2022-10	BTDOG	DeFi	$156,000.00	Scam
2022-10	NWT Token	DeFi	$191,000.00	Scam
2022-10	A6 Token	DeFi	$60,000.00	Scam
2022-10	StableFund	DeFi	$23,400,000.00	Scam
2022-10	Santa Coin	DeFi	$210,000.00	Scam
2022-10	AuroraStake	DeFi	$26,500.00	Scam
2022-10	Melody SGS	Metaverse	$607,000.00	Hack
2022-10	ULME	DeFi	$50,000.00	Hack
2022-10	Retrogade	GameFi	$0.00	Scam
2022-10	Nutgain	DeFi	$0.00	Scam
2022-10	ThrustZone	DeFi	$0.00	Scam
2022-10	Minisoccertoken	GameFi	$0.00	Scam
2022-10	Babycheemsbillionaire	DeFi	$0.00	Scam
2022-10	UVT Token	DeFi	$1,360,000.00	Hack
2022-10	Trust Swap	DeFi	$14,000,000.00	Hack
2022-10	V8Token and VTFToken	DeFi	$63,300.00	Hack
2022-10	LOO	DeFi	$275,000.00	Scam
2022-11	FITE	DeFi	$622,000.00	Scam
2022-11	Rubic	DeFi	$79,000.00	Hack
2022-11	Inuko Finance	DeFi	$60,000.00	Hack
2022-11	MFX	DeFi	$131,000.00	Scam
2022-11	pGala, pNetwork	Bridge	$4,300,000.00	Improper Management
2022-11	Unknown	DeFi	$32,000.00	Hack
2022-11	Bvaults	DeFi	$5,500.00	Hack
2022-11	MooCakeCTX	DeFi	$140,000.00	Hack
2022-11	DeFiWZ Token	DeFi	$207,000.00	Scam
2022-11	Lottery Swap	DeFi	$127,000.00	Scam
2022-11	DeFi Safe	DeFi	$40,000.00	Scam
2022-11	Transhuman Coin	DeFi	$32,000.00	Hack
2022-11	Weave	DeFi	$631,000.00	Hack
2022-11	SCAT	DeFi	$26,000.00	Scam
2022-11	Fair Token	DeFi	$428,000.00	Scam
2022-11	DeFiAiOfficial	DeFi	$4,152,000.00	Scam
2022-11	$FLARE	DeFi	$17,000,000.00	Scam
2022-11	$USDM	DeFi	$700,000.00	Scam
2022-11	Cezar Hard Fork	DeFi	$291,000.00	Scam
2022-11	Sheep Farm	GameFi	$72,400.00	Hack
2022-11	Trust Bridge	DeFi	$120,000.00	Scam
2022-11	Safuu Protocol	DeFi	$6,000,000.00	Scam
2022-11	Unknown	DeFi	$800,000.00	Hack
2022-11	SportsDAO	DeFi	$13,600.00	Hack
2022-11	AUR Official	DeFi	$13,000.00	Hack
2022-11	Unknown	DeFi	$23,000.00	Scam
2022-11	SEAMAN	DeFi	$7,800.00	Hack
2022-11	MBC	DeFi	$5,600.00	Hack
2022-11	OCash	Metaverse	$30,000.00	Hack
2022-12	Ankr/Helio	DeFi	$20,000,000.00	Hack
2022-12	Ariva Protocol	Travel	$120,000.00	Scam
2022-12	BGE	DeFi	$426,000.00	Scam
2022-12	Lymex	DeFi	$300,000.00	Scam
2022-12	BBOX	Metaverse	$12,000.00	Hack
2022-12	RoastFootball	GameFi	$3,500.00	Hack
2022-12	OptionRoom	DeFi	$134,000.00	Scam
2022-12	$AES	DeFi	$61,600.00	Hack
2022-12	Nova Exchange	DeFi	$105,000.00	Scam
2022-12	TifiToken	DeFi	$25,000.00	Hack
2022-12	TRQ6688	DeFi	$75,400.00	Scam
2022-12	$GECN	DeFi	$139,000.00	Scam
2022-12	$WOG	DeFi	$177,000.00	Scam
2022-12	$BGLD	DeFi	$24,000.00	Hack
2022-12	Unknown	DeFi	$140,000.00	Hack
2022-12	Nimbus Platform	DeFi	$76,000.00	Hack
2022-12	$FPR	DeFi	$30,000.00	Hack
2022-12	"Lotus Secure Union Token	"	DeFi	$80,000.00	Scam
2022-12	Hooked	Learn to earn	$126,000.00	Hack
2022-12	Bitkeep	Wallet	$8,000,000.00	Hack
2022-12	Snowflake Finance	DeFi	$500,000.00	Scam
2022-12	Ccdsdao	DeFi	$40,000.00	Scam
2023-01	BelecXToken	DeFi	$0.00	Hack
2023-01	Position Exchange        	DeFi	$200,000.00	Scam
2023-01	$GDS	DeFi	$180,000.00	Hack
2023-01	PHL	DeFi	$103,000.00	Scam
2023-01	$FUT	DeFi	$2,700,000.00	Scam
2023-01	MetaBankA	DeFi	$13,000.00	Hack
2023-01	$BRA	DeFi	$226,000.00	Hack
2023-01	$ACS	DeFi	$10,000.00	Hack
2023-01	ThreeBody	DeFi	$1,760.00	Hack
2023-01	UBT	DeFi	$4,560.00	Hack
2023-01	UFDao	DeFi	$90,000.00	Hack
2023-01	Circulate	DeFi	$2,300,000.00	Scam
2023-01	$520	DeFi	$11,561.00	Hack
2023-01	Omniestategroup	Property	$70,000.00	Hack
2023-01	YieldRobot	DeFi	$2,100,000.00	Scam
2023-01	MEV bot	MEV	$34,500.00	Hack
2023-01	Unknown	DeFi	$100,000.00	Hack
2023-01	Thoreum Finance	DeFi	$688,000.00	Hack
2023-01	$FFF	DeFi	$1,000,000.00	Scam
2023-01	phyProxy	DeFi	$1,200.00	Hack
2023-01	StormBringerBSC	DeFi	$35,000.00	Hack
2023-01	$BEVO	DeFi	$45,000.00	Hack
2023-01	ShibaRabbit	DeFi	$100,000.00	Scam
2023-02	Orion Protocol	DeFi	$200,000.00	Hack
2023-02	LiveCryptoParty	Metaverse	$3,000.00	Hack
2023-02	FDP	DeFi	$10,000.00	Hack
2023-02	DMC	DeFi	$20,000.00	Hack
2023-02	WOOF	DeFi	$115,000.00	Scam
2023-02	LianGoProtocol	DeFi	$1,600,000.00	Hack
2023-02	DAYUDAO	DeFi	$3,300.00	Hack
2023-02	DBALL	DeFi	$18,000.00	Hack
2023-02	Zoinks	DeFi	$70,000.00	Hack
2023-02	Bubblegum	DeFi	$354.00	Hack
2023-02	BABYDOLL BSC	DeFi	$1,300.00	Hack
2023-02	SHEEP	DeFi	$2,900.00	Hack
2023-02	DCUM	DeFi	$3,300.00	Hack
2023-02	Crypto1319, The Philosophers Stone ($TPOS), Meta Speed Game ($MTSG)	DeFi	$3,500.00	Hack
2023-02	Nyquil	DeFi	$28,000.00	Hack
2023-02	EPMAX	DeFi	$340,000.00	Hack
2023-02	MmtMiner	DeFi	$93,000.00	Hack
2023-02	PolarBear100X	DeFi	$639.00	Hack
2023-02	Starlink	DeFi	$11,800.00	Hack
2023-02	BABYDOLL BSC	DeFi	$11,800.00	Hack
2023-02	Dynamic	DeFi	$23,000.00	Hack
2023-02	PVC META	DeFi	$326,000.00	Scam
2023-02	TATA	DeFi	$10,000.00	Hack
2023-02	NFTCloud	NFT	$81,000.00	Hack
2023-02	FEG	DeFi	$284,000.00	Hack
2023-02	SwapX	DeFi	$7,000,000.00	Hack
2023-02	HXT	DeFi	$60,500.00	Scam
2023-02	MbeDongleSwap	DeFi	$120,000.00	Scam
2023-03	BNQ	DeFi	$54,000.00	Scam
2023-03	Alexa Pro	DeFi	$13,300.00	Hack
2023-03	ProTradex	DeFi	$600,000.00	Scam
2023-03	BCGA	DeFi	$39,000.00	Scam
2023-03	Poolz Finance	DeFi	$370,000.00	Hack
2023-03	Bugg Finance	DeFi	$5,000.00	Hack
2023-03	Definix	DeFi	$17,000.00	Hack
2023-03	Harvest Keeper	DeFi	$933,000.00	Scam
2023-03	BNQ	DeFi	$72,000.00	Scam
2023-03	Monsterra	GameFi	$250,000.00	Hack
2023-03	$ASKACR	DeFi	$28,000.00	Hack
2023-03	Nuwa	DeFi	$110,000.00	Hack
2023-03	Culs	DeFi	$200,000.00	Scam
2023-03	Big Winner	GameFi	$25,000.00	Hack
2023-03	ARKEN	DeFi	$80,000.00	Scam
2023-03	Thena Investor	DeFi	$20,000.00	Hack
2023-03	Safemoon	DeFi	$8,900,000.00	Hack
2023-03	$UNMS	DeFi	$100,000.00	Hack
2023-04	AllBridge	Bridge	$570,000.00	Hack
2023-04	MoonFarm	DeFi	$272,000.00	Hack
2023-04	Fake GAFI	DeFi	$73,000.00	Scam
2023-04	TRT	DeFi	$93,000.00	Scam
2023-04	Unknown	DeFi	$115,000.00	Scam
2023-04	Meta Master (Master)	DeFi	$160,000.00	Scam
2023-04	BIGFI	DeFi	$185,000.00	Scam
2023-04	PCORE	DeFi	$37,500.00	Scam
2023-04	OpenAI LASA	DeFi	$110,000.00	Scam
2023-04	Deri Protocol	DeFi	$100,000.00	Scam
2023-04	ZOC	DeFi	$17,000.00	Scam
2023-04	Meta Skyer	DeFi	$20,000.00	Hack
2023-04	TYF	DeFi	$44,000.00	Scam
2023-04	CZCEO Token	DeFi	$6,700.00	Scam
2023-04	Chain GPT	DeFi	$200,000.00	Scam
2023-04	MetaPoint1024 (POT)	DeFi	$910,000.00	Hack
2023-04	Atlantis Loans	DeFi	$1,000,000.00	Scam
2023-04	CryptoLink Tech	DeFi	$12,500.00	Hack
2023-04	Multi Level Processing (MLP)	DeFi	$35,000.00	Scam
2023-04	chatGPT	DeFi	$200,000.00	Scam
2023-04	Uniwhale	DeFi	$660,000.00	Hack
2023-04	Fake website	Website	$7,000.00	Scam
2023-04	Fake website	Website	$1,000.00	Scam
2023-04	Fake website	Website	$8,000.00	Scam
2023-04	OceanLife token	DeFi	$11,000.00	Hack
2023-04	RESDAO LP user	DeFi	$750,000.00	Scam
2023-04	XBN	DeFi	$10,000.00	Hack
2023-04	Unknown	DeFi	$30,000.00	Hack
2023-04	VCC	DeFi	$23,000.00	Scam
2023-04	BeatGen	Music	$3,000.00	Hack
2023-04	AXT 	DeFi	$6,780.00	Hack
2023-04	Daruma	DeFi	$1,700.00	Hack
2023-04	JYBToken	DeFi	$1,200.00	Hack
2023-04	HTC	DeFi	$14,000.00	Hack
2023-04	SEVEN KEYS	DeFi	$325,000.00	Scam
2023-04	MOS	DeFi	$32,000.00	Hack
2023-05	Elite Sniper	DeFi	$73,000.00	Hack
2023-05	Never Fall	DeFi	$74,000.00	Hack
2023-05	Level Finance	DeFi	$1,050,000.00	Hack
2023-05	ADU	DeFi	$7,000.00	Hack
2023-05	ASCO	DeFi	$229,000.00	Scam
2023-05	Melo token	DeFi	$70,000.00	Hack
2023-05	DeusDAO (DEI)	DeFi	$1,300,000.00	Hack
2023-05	BFT	DeFi	$275,000.00	Hack
2023-05	CumRocketCrypto	DeFi	$8,850.00	Hack
2023-05	Unknown	DeFi	$27,000.00	Hack
2023-05	Metaverse Snooker (SNK)	Metaverse	$197,000.00	Hack
2023-05	Trust The Trident & $SELLC	DeFi	$95,000.00	Hack
2023-05	$LW	DeFi	$49,000.00	Hack
2023-05	Trust The Trident	DeFi	$200.00	Hack
2023-05	Trust The Trident	DeFi	$11,000.00	Hack
2023-05	Bitpadio (BTP)	DeFi	$30,000.00	Hack
2023-05	$Land	DeFi	$149,000.00	Hack
2023-05	NETH, IKRAI, MBAKE	DeFi	$2,738.00	Hack
2023-05	TSL and AGG	DeFi	$30,000.00	Hack
2023-05	MiniFootball	DeFi	$400,000.00	Scam
2023-05	DBA	DeFi	$800.00	Hack
2023-05	MBank	DeFi	$11,500.00	Scam
2023-05	Fistiana	DeFi	$7,500.00	Scam
2023-05	Fake token	DeFi	$15,000.00	Scam
2023-05	Bitforge	DeFi	$100,000.00	Scam
2023-05	Fake_Phishing	DeFi	$1,000.00	Scam
2023-05	GCCombinedSwap	DeFi	$3,118.00	Hack
2023-05	DOZ	DeFi	$7,000.00	Hack
2023-05	Swap-LP (WDZD)	DeFi	$1,000,000.00	Hack
2023-05	LunaFi	DeFi	$35,000.00	Hack
2023-05	Fake SUI token	DeFi	$190,000.00	Scam
2023-05	LOCALTRADERSCL (LCT)	DeFi	$118,000.00	Hack
2023-05	SwapX	DeFi	$265,000.00	Hack
2023-05	CS	DeFi	$714,000.00	Hack
2023-05	CNN	DeFi	$5,500.00	Hack
2023-05	GPT	DeFi	$155,000.00	Hack
2023-05	Fintoch	DeFi	$31,600,000.00	Scam
2023-05	BabyDoge	DeFi	$137,000.00	Hack
2023-05	ipp	DeFi	$14,500,000.00	Scam
2023-05	FAPEN	DeFi	$600.00	Hack
2023-05	BlockGPT	DeFi	$254,000.00	Scam
2023-05	NomiSwap	DeFi	$6,000.00	Hack
2023-05	MoveCash	DeFi	$132,000.00	Scam
2023-06	MetaNile	DeFi	$66,000.00	Scam
2023-06	CELL	DeFi	$75,000.00	Hack
2023-06	DD	DeFi	$300,000.00	Hack
2023-06	BUSD user	DeFi	$350,000.00	Scam
2023-06	Galaxy Finance	DeFi	$849.00	Hack
2023-06	ZK Secure	DeFi	$7,800.00	Hack
2023-06	SGO	DeFi	$290,000.00	Hack
2023-06	NFDAO	DeFi	$88,000.00	Scam
2023-06	UN	DeFi	$26,000.00	Hack
2023-06	MURATIAI	DeFi	$88,000.00	Hack
2023-06	Unknown	DeFi	$15,000.00	Hack
2023-06	USEA	DeFi	$1,100,000.00	Scam
2023-06	Jindo Inu	DeFi	$1,200.00	Hack
2023-06	Trust The Trident	DeFi	$105,000.00	Hack
2023-06	BUSDHK	DeFi	$189,000.00	Scam
2023-06	Atlantis Loans	DeFi	$2,500,000.00	Hack
2023-06	HNC	DeFi	$10.00	Hack
2023-06	Fake MetaHash	DeFi	$37,000.00	Scam
2023-06	Hashflow	DeFi	$605,000.00	White hat hack
2023-06	CFC	DeFi	$16,000.00	Hack
2023-06	VPANDA	DeFi	$870,000.00	Scam
2023-06	FYM Mining	DeFi	$1,000.00	Hack
2023-06	Midas Capital	DeFi	$610,000.00	Hack
2023-06	AraBlocks	DeFi	$125,000.00	Hack
2023-06	IPO_web3	DeFi	$102,200.00	Scam
2023-06	Zera_web	DeFi	$285,000.00	Hack
2023-06	BabyDoge	DeFi	$110,000.00	Hack
2023-06	HRN	DeFi	$30,000.00	Scam
2023-06	Western Journey (DHXY) 	DeFi	$168,000.00	Scam
2023-06	EthBread	DeFi	$338,000.00	Scam
2023-06	STRAC	DeFi	$150,000.00	Hack
2023-06	ACORNS	DeFi	$338,000.00	Scam
2023-06	Cloud NFT	DeFi	$500,000.00	Scam